date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2015/12/7,40.6,40.99,40.5,39.3,1041617.88,1,2.53,38.118,36.827,36.151,709862.62,564176.98,462316.74,10.15
2015/12/4,38.51,39.63,39.5,37.8,791566.38,0.99,2.57,37.328,36.372,35.777,598651.05,491306.31,421382.89,7.71
2015/12/3,36.52,38.89,38.51,36.31,677169.94,2.37,6.56,36.384,36.114,35.433,502162.92,438516.21,391080.84,6.6
2015/12/2,35.94,36.94,36.14,35.5,407811.59,0.2,0.56,35.828,35.992,35.151,425978.54,407086.86,371713.76,3.97
2015/12/1,37.1,37.35,35.94,35.6,631147.31,-0.61,-1.67,35.604,36.007,35.005,411281.41,413778.85,371803.74,6.15
2015/11/30,35.78,36.8,36.55,35.3,485560.03,1.77,5.09,35.536,36.133,34.895,418491.34,404669.23,373303.85,4.73
2015/11/27,35.73,36.18,34.78,34.3,309125.72,-0.95,-2.66,35.416,35.973,34.691,383961.57,390719.2,373931.39,3.01
2015/11/26,35.3,35.95,35.73,35.15,296248.06,0.71,2.03,35.844,35.957,34.551,374869.5,404021.85,383739.11,2.89
2015/11/25,35.62,35.87,35.02,34.99,334325.91,-0.58,-1.63,36.156,35.821,34.309,388195.18,407004.07,407944.94,3.26
2015/11/24,36.99,37.5,35.6,35.21,667197,-0.35,-0.97,36.41,35.677,34.111,416276.3,391064.97,413163.2,6.5
2015/11/13,36.53,37,35.95,35.8,312911.16,-0.97,-2.63,36.73,35.474,33.851,390847.11,360456.5,401604.62,3.05
2015/11/12,37.45,37.57,36.92,36.66,263665.38,-0.37,-0.99,36.53,35.181,33.561,397476.84,351459.48,408212.97,2.57
2015/11/11,36.24,37.29,37.29,36.24,362876.47,1,2.76,36.07,34.751,33.225,433174.21,343645.47,421328.23,3.54
2015/11/10,36.88,37.68,36.29,35.95,474731.47,-0.91,-2.45,35.486,34.309,32.842,425812.96,336340.65,431332.35,4.63
2015/11/9,35.75,37.2,37.2,34.95,540051.06,2.25,6.44,34.944,34.003,32.568,365853.65,329828.62,436378.02,5.26
2015/11/6,34.38,35.53,34.95,34.15,346059.81,0.33,0.95,34.218,33.656,32.252,330065.89,341938.48,459654.49,3.37
2015/11/5,34.19,35.5,34.62,34,442152.22,0.25,0.73,33.832,33.409,32.061,305442.11,357143.57,496141.79,4.31
2015/11/4,33.58,34.4,34.37,33.41,326070.22,0.79,2.35,33.432,33.144,31.764,254116.74,363456.37,474838.83,3.18
2015/11/3,33.4,34.05,33.58,33.21,174934.94,0.01,0.03,33.132,32.797,31.47,246868.34,408885.82,490791.55,1.7
2015/11/2,32.6,34.42,33.57,32.52,361112.25,0.55,1.67,33.062,32.545,31.162,293803.59,435261.43,513100.2,3.52
2015/10/30,32.83,33.42,33.02,32.23,222940.94,0.4,1.23,33.094,32.227,30.891,353811.07,442752.75,550800.21,2.17
2015/10/29,33.1,33.39,32.62,32.5,185525.34,-0.25,-0.76,32.986,31.941,30.688,408845.03,464966.46,693978.11,1.81
2015/10/28,33.24,34.08,32.87,32.73,289828.25,-0.36,-1.08,32.856,31.699,30.481,472795.99,499010.98,688967.09,2.82
2015/10/27,33.33,33.55,33.23,32.24,409611.19,-0.5,-1.48,32.462,31.374,30.435,570903.29,526324.04,720993.17,3.99
2015/10/26,32.94,34.2,33.73,32.65,661149.62,1.25,3.85,32.028,31.133,30.396,576719.27,542927.42,750124.75,6.44
2015/10/23,32.1,32.68,32.48,31.41,498110.75,0.51,1.59,31.36,30.848,30.357,531694.43,577370.5,802246.28,4.85
2015/10/22,30.65,32.1,31.97,30.63,505280.16,1.07,3.46,30.896,30.712,30.405,521087.89,635140,834862.84,4.92
2015/10/21,31.1,32.5,30.9,30.75,780364.75,-0.16,-0.52,30.542,30.384,30.326,525225.96,586221.28,866268.7,7.6
2015/10/20,30.35,31.38,31.06,30.13,438691.09,0.67,2.21,30.286,30.143,30.194,481744.79,572697.28,867815.5,4.27
2015/10/19,30.14,31.18,30.39,29.93,436025.38,0.23,0.76,30.238,29.779,29.985,509135.56,590938.96,882373.58,4.25
2015/10/16,30.18,30.45,30.16,29.75,445078.09,-0.04,-0.13,30.336,29.555,29.839,623046.58,658847.67,901496.93,4.34
2015/10/15,29.58,30.85,30.2,29.55,525970.5,0.58,1.96,30.528,29.434,29.75,749192.11,922989.76,924098.03,5.12
2015/10/14,30.7,30.82,29.62,29.41,562958.88,-1.2,-3.89,30.226,29.262,29.603,647216.61,878923.21,946790.76,5.48
2015/10/13,30.67,31.34,30.82,30.04,575644.94,-0.06,-0.19,30,29.496,29.413,663649.78,915662.29,951242.62,5.61
2015/10/12,31.2,32.08,30.88,30.82,1005580.5,-0.24,-0.77,29.32,29.659,29.174,672742.36,957322.09,959076.2,9.8
2015/10/8,29.2,31.34,31.12,29,1075805.75,2.63,9.23,28.774,29.865,28.874,694648.76,1027122.07,935762.04,10.48
2015/10/7,28.43,28.69,28.69,27.97,16092.97,0.2,0.7,28.34,30.097,28.548,1096787.41,1034585.68,908058.48,0.16
2015/9/30,27.69,28.78,28.49,27.61,645124.75,1.07,3.9,28.298,30.268,28.317,1110629.81,1146316.12,930240.13,6.29
2015/9/29,27.75,28.35,27.42,27.23,621107.81,-0.73,-2.59,28.992,30.244,28.103,1167674.8,1162933.71,931809.16,6.05
2015/9/28,28.9,29.3,28.15,27.81,1115112.5,-0.8,-2.76,29.998,30.191,27.894,1241901.83,1173808.21,920906.07,10.86
2015/9/25,26.2,30.76,28.95,26.2,3086499,0.47,1.65,30.956,30.122,27.641,1359595.38,1144146.2,887747.24,30.07
2015/9/24,28.48,28.48,28.48,28.48,85305,-3.16,-9.99,31.854,30.065,27.378,972383.95,925206.31,767885.63,0.83
