date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017/11/17,20.55,20.9,19.68,19.63,241597.12,-0.73,-3.58,20.4,20.374,19.745,193151.62,217120.55,195875.38,1.91
2017/11/16,20.45,20.55,20.41,20.11,126173.4,-0.17,-0.83,20.646,20.357,19.674,203651.9,209176.48,186464.77,1
2017/11/15,20.5,20.72,20.58,20.27,149325.7,0.06,0.29,20.632,20.286,19.563,216537.87,214620.77,183687.87,1.18
2017/11/14,20.8,21.06,20.52,20.41,184918.36,-0.29,-1.39,20.532,20.201,19.453,225383.38,242954.18,179360.86,1.46
2017/11/13,20.93,21.34,20.81,20.69,263743.53,-0.1,-0.48,20.492,20.073,19.355,243303.56,243868.12,172889.48,2.09
2017/11/10,20.24,21.05,20.91,20.23,294098.5,0.57,2.8,20.348,19.843,19.235,241089.49,231084.81,166939.3,2.33
2017/11/9,19.98,20.44,20.34,19.96,190603.28,0.26,1.29,20.068,19.644,19.137,214701.06,214857.28,156734.4,1.51
2017/11/8,20.24,20.44,20.08,20.05,193553.23,-0.24,-1.18,19.94,19.504,19.067,212703.67,212204.37,153327.88,1.53
2017/11/7,20.09,20.44,20.32,19.93,274519.28,0.23,1.15,19.87,19.385,19.004,260524.98,203800.62,148865.24,2.17
2017/11/6,19.45,20.09,20.09,19.38,252673.14,0.58,2.97,19.654,19.234,18.928,244432.68,185469.21,145879.91,2
2017/11/3,19.66,19.89,19.51,19.35,162156.36,-0.19,-0.96,19.338,19.115,18.845,221080.14,174630.2,136830.21,1.28
2017/11/2,19.68,19.9,19.7,19.43,180616.36,-0.03,-0.15,19.22,18.991,18.777,215013.5,163753.07,131761.76,1.43
2017/11/1,19.27,19.98,19.73,19.22,432659.75,0.49,2.55,19.068,18.84,18.701,211705.06,152754.96,126632.2,3.43
2017/10/31,18.54,19.25,19.24,18.37,194057.8,0.73,3.94,18.9,18.704,18.622,147076.27,115767.55,108973.12,1.54
2017/10/30,18.95,18.98,18.51,18.29,135910.41,-0.41,-2.17,18.814,18.636,18.56,126505.74,101910.83,104181.47,1.08
2017/10/27,18.92,19.16,18.92,18.71,131823.2,-0.02,-0.11,18.892,18.626,18.512,128180.26,102793.79,101306.77,1.04
2017/10/26,18.83,19.14,18.94,18.73,164074.14,0.05,0.27,18.762,18.629,18.461,112492.63,98611.51,100080.33,1.3
2017/10/25,18.83,19.01,18.89,18.72,109515.78,0.08,0.42,18.612,18.63,18.42,93804.85,94451.38,97526.88,0.87
2017/10/24,18.86,18.86,18.81,18.6,91205.18,-0.09,-0.48,18.508,18.623,18.4,84458.83,93929.86,95019.84,0.72
2017/10/23,18.36,18.9,18.9,18.3,144283.02,0.63,3.45,18.458,18.622,18.383,77315.92,106290.6,94856.6,1.14
2017/10/20,18.16,18.45,18.27,18.13,53385.05,0.08,0.44,18.36,18.574,18.379,77407.31,99030.23,92736.67,0.42
2017/10/19,18.4,18.4,18.19,17.99,70635.24,-0.18,-0.98,18.496,18.562,18.405,84730.39,99770.44,98158.83,0.56
2017/10/18,18.57,18.77,18.37,18.35,62785.65,-0.19,-1.02,18.648,18.561,18.428,95097.91,100509.43,99052.4,0.5
2017/10/17,18.37,18.61,18.56,18.32,55490.63,0.15,0.81,18.738,18.54,18.442,103400.88,102178.69,99344.91,0.44
