date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017/11/17,4.84,4.96,4.68,4.65,2678827,-0.18,-3.7,4.83,4.837,4.586,2821302.35,3909071.68,3476759.63,2.98
2017/11/16,4.81,4.9,4.86,4.66,2597084.25,0.03,0.62,4.89,4.797,4.556,3187315.95,3862460.28,3492879.66,2.89
2017/11/15,4.81,4.91,4.83,4.79,2190207,0.01,0.21,4.92,4.733,4.521,3566441.2,3806569.35,3544160.89,2.43
2017/11/14,4.92,4.96,4.82,4.75,3449552,-0.14,-2.82,4.904,4.671,4.49,3994205.9,3823100.8,3747831.44,3.83
2017/11/13,5,5.08,4.96,4.92,3190841.5,-0.02,-0.4,4.9,4.623,4.45,4541293.1,3714042.58,3763031.29,3.54
2017/11/10,4.99,5.14,4.98,4.96,4508895,-0.03,-0.6,4.844,4.567,4.396,4996841,3743331.8,3829348.91,5.01
2017/11/9,4.73,5.13,5.01,4.72,4492710.5,0.26,5.47,4.704,4.515,4.335,4537604.6,3667448.6,3694155.5,4.99
2017/11/8,4.83,4.91,4.75,4.73,4329030.5,-0.05,-1.04,4.546,4.456,4.268,4046697.5,3673935.75,3519498.89,4.81
2017/11/7,4.71,4.95,4.8,4.68,6184988,0.12,2.56,4.438,4.421,4.215,3651995.7,3595150.5,3358910.32,6.87
2017/11/6,4.27,4.71,4.68,4.25,5468581,0.4,9.35,4.346,4.368,4.162,2886792.05,3223019.28,3127902.83,6.08
2017/11/3,4.21,4.35,4.28,4.2,2212713,0.06,1.42,4.29,4.334,4.114,2489822.6,3044447.58,2989937.34,2.46
2017/11/2,4.2,4.29,4.22,4.13,2038175,0.01,0.24,4.326,4.315,4.078,2797292.6,3123299.05,2909375.49,2.26
2017/11/1,4.35,4.36,4.21,4.19,2355521.5,-0.13,-3,4.366,4.309,4.048,3301174,3281752.43,2863475.18,2.62
2017/10/31,4.34,4.4,4.34,4.27,2358969.75,-0.06,-1.36,4.404,4.309,4.014,3538305.3,3672562.08,2770615.94,2.62
2017/10/30,4.44,4.54,4.4,4.38,3483733.75,-0.06,-1.34,4.39,4.276,3.975,3559246.5,3812020,2678283.71,3.87
2017/10/27,4.42,4.53,4.46,4.28,3750063,0.04,0.91,4.378,4.224,3.93,3599072.55,3915366.03,2525821.93,4.17
2017/10/26,4.4,4.62,4.42,4.35,4557582,0.02,0.46,4.304,4.154,3.886,3449305.5,3720862.4,2376163.98,5.06
2017/10/25,4.28,4.42,4.4,4.24,3541178,0.13,3.04,4.252,4.08,3.847,3262330.85,3365062.04,2243351.11,3.93
2017/10/24,4.33,4.35,4.27,4.22,2463675.75,-0.07,-1.61,4.214,4.009,3.806,3806818.85,3122670.14,2094918.96,2.74
2017/10/23,4.1,4.34,4.34,4.09,3682864,0.25,6.11,4.162,3.956,3.772,4064793.5,3032786.38,2000209.86,4.09
2017/10/20,4.13,4.2,4.09,4.07,3001227.75,-0.07,-1.68,4.07,3.894,3.733,4231659.5,2935427.1,1849157.82,3.33
2017/10/19,4.2,4.29,4.16,4.13,3622708.75,-0.05,-1.19,4.004,3.841,3.708,3992419.3,2695451.93,1724427.13,4.02
2017/10/18,4.01,4.39,4.21,4.01,6263618,0.2,4.99,3.908,3.786,3.679,3467793.23,2445197.92,1568297.81,6.96
2017/10/17,3.84,4.04,4.01,3.79,3753549,0.13,3.35,3.804,3.719,3.648,2438521.43,1868669.8,1278347.31,4.17
2017/10/16,3.78,3.94,3.88,3.74,4517194,0.12,3.19,3.75,3.673,3.627,2000779.25,1544547.43,1112589.76,5.02
2017/10/13,3.67,3.76,3.76,3.66,1805026.75,0.08,2.17,3.718,3.636,3.613,1639194.7,1136277.84,928451.76,2.01
2017/10/12,3.68,3.74,3.68,3.66,999578.38,-0.01,-0.27,3.678,3.617,3.604,1398484.55,1031465.55,856871.39,1.11
2017/10/11,3.74,3.75,3.69,3.67,1117259,-0.05,-1.34,3.664,3.613,3.598,1422602.62,1121640.17,824601.37,1.24
2017/10/10,3.7,3.74,3.74,3.66,1564838.12,0.02,0.54,3.634,3.602,3.592,1298818.17,1067167.77,784521.67,1.74
2017/10/9,3.59,3.82,3.72,3.58,2709271.25,0.16,4.49,3.596,3.587,3.585,1088315.61,967633.35,726083.83,3.01
2017/9/29,3.58,3.62,3.56,3.55,601476,-0.05,-1.39,3.554,3.572,3.58,633360.99,762888.54,621367.76,0.67
2017/9/28,3.54,3.63,3.61,3.51,1120168.75,0.07,1.98,3.556,3.575,3.581,664446.55,753402.34,610287.21,1.24
2017/9/27,3.54,3.56,3.54,3.51,498336.72,-0.01,-0.28,3.562,3.571,3.581,820677.72,691397.7,577465.66,0.55
2017/9/26,3.51,3.57,3.55,3.51,512325.31,0.04,1.14,3.57,3.576,3.583,835517.38,688024.82,572995.01,0.57
2017/9/25,3.57,3.58,3.51,3.5,434498.16,-0.06,-1.68,3.578,3.58,3.586,846951.09,680632.1,572562.23,0.48
2017/9/22,3.62,3.63,3.57,3.55,756903.81,-0.07,-1.92,3.59,3.59,3.589,892416.1,720625.69,574295.37,0.84
2017/9/21,3.61,3.74,3.64,3.6,1901324.62,0.06,1.68,3.594,3.591,3.587,842358.13,682277.23,577876.21,2.11
2017/9/6,3.58,3.59,3.58,3.55,572535,-0.01,-0.28,3.58,3.582,3.586,562117.68,527562.56,521903.32,0.64
2017/9/5,3.57,3.6,3.59,3.56,569493.88,0.02,0.56,3.582,3.582,3.591,540532.25,501875.56,545136.31,0.63
2017/9/4,3.59,3.6,3.57,3.55,661823.19,-0.02,-0.56,3.582,3.582,3.597,514313.11,484534.32,549157.19,0.74
2017/9/1,3.58,3.6,3.59,3.57,506613.97,0.02,0.56,3.59,3.587,3.605,548835.27,479846.97,549261.86,0.56
2017/8/31,3.59,3.6,3.57,3.56,500122.38,-0.02,-0.56,3.588,3.587,3.611,522196.33,467172.08,568608.84,0.56
2017/8/30,3.59,3.61,3.59,3.58,464607.84,0,0,3.584,3.59,3.621,493007.43,463533.61,593454.1,0.52
2017/8/29,3.61,3.63,3.59,3.58,438398.16,-0.02,-0.55,3.582,3.59,3.63,463218.86,457965.2,664334.62,0.49
2017/8/28,3.59,3.63,3.61,3.58,834434,0.03,0.84,3.582,3.591,3.642,454755.53,464492.37,793923.04,0.93
2017/8/25,3.55,3.59,3.58,3.54,373419.25,0.03,0.84,3.584,3.588,3.645,410858.68,427965.05,840237.18,0.41
2017/8/24,3.58,3.59,3.55,3.55,354177.91,-0.03,-0.84,3.586,3.583,3.646,412147.83,473475.18,874655.19,0.39
2017/8/23,3.59,3.59,3.58,3.56,315665,-0.01,-0.28,3.596,3.589,3.647,434059.79,516244.09,928051.78,0.35
2017/8/22,3.62,3.62,3.59,3.58,396081.47,-0.03,-0.83,3.598,3.599,3.649,452711.53,588397.06,1112448.23,0.44
2017/8/21,3.58,3.63,3.62,3.58,614949.75,0.03,0.84,3.6,3.612,3.645,474229.21,613780.06,1123938.49,0.68
2017/8/18,3.58,3.6,3.59,3.57,379865.03,-0.01,-0.28,3.592,3.622,3.639,445071.43,618676.74,1128329.43,0.42
2017/8/17,3.58,3.61,3.6,3.58,463737.69,0.01,0.28,3.58,3.634,3.637,534802.53,670045.61,1129317.03,0.52
2017/8/16,3.59,3.6,3.59,3.57,408923.69,-0.01,-0.28,3.582,3.652,3.635,598428.38,723374.59,1136006.43,0.45
2017/8/15,3.59,3.63,3.6,3.57,503669.88,0.02,0.56,3.6,3.67,3.634,724082.59,870704.05,1171418.01,0.56
2017/8/14,3.54,3.59,3.58,3.54,469160.84,0.05,1.42,3.624,3.693,3.636,753330.91,1123353.71,1204681.78,0.52
2017/8/11,3.59,3.6,3.53,3.52,828520.56,-0.08,-2.22,3.652,3.702,3.642,792282.05,1252509.3,1306648.32,0.92
2017/8/10,3.67,3.67,3.61,3.6,781866.94,-0.07,-1.9,3.688,3.708,3.644,805288.69,1275835.21,1304824.08,0.87
2017/8/9,3.72,3.72,3.68,3.64,1037194.75,-0.04,-1.07,3.722,3.705,3.643,848320.8,1339859.47,1304553.8,1.15
2017/8/8,3.72,3.75,3.72,3.7,649911.44,0,0,3.74,3.698,3.64,1017325.5,1636499.4,1288334.2,0.72
2017/8/7,3.71,3.74,3.72,3.69,663916.56,0.01,0.27,3.762,3.677,3.635,1493376.51,1634096.93,1280799.87,0.74
2017/8/4,3.79,3.8,3.71,3.71,893553.75,-0.07,-1.85,3.752,3.656,3.63,1712736.55,1637982.13,1299727.19,0.99
2017/8/3,3.75,3.8,3.78,3.75,997027.5,0.01,0.27,3.728,3.639,3.621,1746381.72,1588588.46,1285466.46,1.11
2017/8/2,3.85,3.86,3.77,3.75,1882218.25,-0.06,-1.57,3.688,3.617,3.609,1831398.15,1548638.27,1284055.61,2.09
2017/8/1,3.65,3.95,3.83,3.65,3030166.5,0.16,4.36,3.656,3.597,3.602,2255673.3,1472131.97,1226855.71,3.37
2017/7/31,3.57,3.69,3.67,3.55,1760716.75,0.08,2.23,3.592,3.579,3.592,1774817.35,1286009.84,1107623.54,1.96
2017/7/28,3.58,3.64,3.59,3.57,1061779.62,0.01,0.28,3.56,3.581,3.59,1563227.71,1360787.34,1067872.58,1.18
2017/7/27,3.58,3.6,3.58,3.55,1422109.62,-0.03,-0.83,3.55,3.58,3.59,1430795.19,1333812.95,1060948.16,1.58
2017/7/26,3.72,3.72,3.61,3.53,4003594,0.18,5.25,3.546,3.58,3.589,1265878.39,1269248.13,1013592.78,4.45
2017/4/20,3.51,3.53,3.51,3.48,625886.75,0,0,3.538,3.582,3.585,688590.64,940169,841087.96,0.7
2017/4/19,3.53,3.54,3.51,3.47,702768.56,-0.03,-0.85,3.566,3.592,3.587,797202.34,927502.81,829971.93,0.78
2017/4/18,3.55,3.58,3.54,3.54,399617,-0.02,-0.56,3.602,3.604,3.589,1158346.97,961472.25,812204.55,0.44
2017/4/17,3.56,3.57,3.56,3.52,597525.62,-0.01,-0.28,3.61,3.603,3.589,1236830.71,982344.47,817566.47,0.66
2017/4/14,3.64,3.65,3.57,3.55,1117155.25,-0.08,-2.19,3.614,3.6,3.589,1272617.86,1019472.96,815489.12,1.24
2017/4/13,3.67,3.69,3.65,3.63,1168945.25,-0.04,-1.08,3.626,3.606,3.588,1191747.36,981579.46,787234.19,1.3
2017/4/12,3.58,3.75,3.69,3.57,2508491.75,0.11,3.07,3.618,3.604,3.582,1057803.29,929237.24,755187.32,2.79
2017/4/11,3.58,3.59,3.58,3.52,792035.69,0,0,3.606,3.599,3.577,764597.52,774957.81,654924.53,0.88
2017/4/10,3.59,3.59,3.58,3.53,776461.38,-0.05,-1.38,3.596,3.6,3.575,727858.23,788083.36,635334.28,0.86
2017/4/7,3.62,3.64,3.63,3.59,712802.75,0.02,0.55,3.586,3.597,3.574,766328.05,757937.43,624222.92,0.79
2017/4/6,3.62,3.64,3.61,3.6,499224.88,-0.02,-0.55,3.586,3.587,3.572,771411.55,742006.92,607859.41,0.55
2017/4/5,3.54,3.64,3.63,3.54,1042462.88,0.1,2.83,3.59,3.582,3.573,800671.19,732441.04,607996.27,1.16
2017/3/31,3.54,3.55,3.53,3.49,608339.25,0,0,3.592,3.573,3.572,785318.11,662936.86,600219.23,0.68
2017/3/30,3.63,3.64,3.53,3.51,968810.5,-0.1,-2.75,3.604,3.574,3.575,848308.5,652788.48,590542.5,1.08
2017/3/29,3.63,3.65,3.63,3.6,738220.25,0,0,3.608,3.578,3.578,749546.8,611505.27,576287.38,0.82
2017/3/28,3.63,3.65,3.63,3.6,645523.06,-0.01,-0.28,3.588,3.569,3.577,712602.29,592888.92,578360.62,0.72
2017/3/27,3.58,3.65,3.64,3.58,965697.5,0.05,1.39,3.574,3.56,3.577,664210.89,581137.41,564377.46,1.07
2017/3/24,3.55,3.6,3.59,3.54,923291.19,0.04,1.13,3.554,3.554,3.577,540555.6,534891.24,553339.47,1.03
2017/3/23,3.53,3.57,3.55,3.52,475002,0.02,0.57,3.544,3.55,3.582,457268.46,482585.19,543046.88,0.53
2017/3/22,3.54,3.55,3.53,3.51,553497.69,-0.03,-0.84,3.548,3.55,3.589,473463.74,490508.41,567845.29,0.61
2017/3/21,3.53,3.57,3.56,3.52,403566.09,0.02,0.56,3.55,3.556,3.6,473175.56,473711.9,591480.93,0.45
2017/3/20,3.54,3.55,3.54,3.51,347421.03,0,0,3.546,3.563,3.609,498063.93,483551.49,614394.05,0.39
2017/3/17,3.57,3.58,3.54,3.53,506855.47,-0.03,-0.84,3.554,3.571,3.619,529226.89,537501.61,670584.36,0.56
2017/3/16,3.55,3.58,3.57,3.54,555978.44,0.03,0.85,3.556,3.575,3.623,507901.93,528296.53,692819.45,0.62
2017/3/15,3.53,3.57,3.54,3.52,552056.75,0,0,3.552,3.577,3.627,507553.08,541069.48,718532.49,0.61
2017/3/14,3.58,3.58,3.54,3.53,528007.94,-0.04,-1.12,3.562,3.584,3.63,474248.24,563832.32,742626.99,0.59
