date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2015-07-10,1.18,1.29,1.29,1.11,1324954.0,0.12,10.26,1.234,1.386,1.585,689534.45,622695.7,624024.25,8.87
2015-07-09,1.0,1.22,1.17,1.0,1303108.75,0.06,5.41,1.28,1.406,1.626,523030.91,551825.53,604062.97,8.72
2015-07-08,1.11,1.11,1.11,1.11,95224.0,-0.12,-9.76,1.36,1.454,1.67,367955.01,461454.77,629817.66,0.64
2015-07-07,1.24,1.26,1.23,1.23,143152.0,-0.14,-10.22,1.464,1.51,1.724,496930.18,508517.62,631870.31,0.96
2015-07-06,1.61,1.61,1.37,1.37,581233.5,-0.15,-9.87,1.522,1.548,1.785,566021.18,564830.72,657366.81,3.89
2015-07-03,1.54,1.66,1.52,1.51,492436.28,-0.05,-3.19,1.538,1.57,1.852,555856.94,574878.35,631768.99,3.3
2015-07-02,1.65,1.73,1.57,1.55,527729.25,-0.06,-3.68,1.532,1.595,1.899,580620.15,613920.34,612105.69,3.53
2015-07-01,1.5,1.67,1.63,1.5,740099.88,0.11,7.24,1.548,1.635,1.932,554954.52,606883.52,590311.89,4.95
2015-06-30,1.48,1.54,1.52,1.4,488607.0,0.07,4.83,1.556,1.674,1.953,520105.06,585747.74,556402.74,3.27
2015-06-29,1.57,1.59,1.45,1.38,530412.31,-0.04,-2.69,1.574,1.722,1.969,563640.26,607807.68,535642.25,3.55
2015-06-26,1.61,1.65,1.49,1.49,616252.31,-0.16,-9.7,1.602,1.783,1.981,593899.75,625352.8,538111.53,4.13
2015-06-25,1.7,1.74,1.65,1.63,399401.12,-0.02,-1.2,1.658,1.845,2.006,647220.54,656300.42,533998.86,2.67
2015-06-24,1.64,1.73,1.67,1.63,565852.56,0.06,3.73,1.722,1.885,2.026,658812.51,798180.56,541476.51,3.79
2015-06-23,1.51,1.68,1.61,1.47,706283.0,0.02,1.26,1.792,1.938,2.047,651390.41,755223.0,540042.63,4.73
2015-06-19,1.71,1.74,1.59,1.59,681709.75,-0.18,-10.17,1.87,2.021,2.074,651975.1,749902.9,529652.61,4.56
2015-06-18,1.98,1.98,1.77,1.77,882856.25,-0.2,-10.15,1.964,2.133,2.107,656805.85,688659.64,519515.46,5.91
2015-06-17,2.02,2.04,1.97,1.95,457361.0,-0.05,-2.48,2.032,2.202,2.131,665380.3,610291.05,493562.55,3.06
2015-06-16,1.99,2.08,2.02,1.97,528742.06,0.02,1.0,2.048,2.229,2.143,937548.6,573740.26,496347.28,3.54
2015-06-15,2.09,2.09,2.0,1.98,709206.44,-0.06,-2.91,2.084,2.231,2.153,859055.59,527057.75,493647.72,4.75
2015-06-12,2.1,2.14,2.06,2.06,705863.5,-0.05,-2.37,2.172,2.216,2.167,847830.7,463476.82,474051.47,4.73
2015-06-11,2.1,2.2,2.11,2.07,925728.5,0.06,2.93,2.302,2.178,2.178,720513.42,450870.27,450870.27,6.2
2015-06-10,2.1,2.29,2.05,2.0,1818202.5,-0.15,-6.82,2.372,2.186,2.186,555201.79,398108.24,398108.24,12.17
2015-06-09,2.2,2.2,2.2,2.2,136277.0,-0.24,-9.84,2.41,2.203,2.203,209931.91,220596.46,220596.46,0.91
2015-06-08,2.98,2.98,2.44,2.44,653082.0,-0.27,-9.96,2.378,2.203,2.203,195059.91,232642.1,232642.1,4.37
2015-06-05,2.71,2.71,2.71,2.71,69277.12,0.25,10.16,2.26,2.163,2.163,79122.95,162568.78,162568.78,0.46
2015-06-04,2.46,2.46,2.46,2.46,99170.35,0.22,9.82,2.054,2.054,2.054,181227.11,181227.11,181227.11,0.66
2015-06-03,2.24,2.24,2.24,2.24,91853.09,0.2,9.8,1.953,1.953,1.953,201741.3,201741.3,201741.3,0.61
2015-06-02,2.04,2.04,2.04,2.04,61916.97,0.19,10.27,1.857,1.857,1.857,238370.71,238370.71,238370.71,0.41
2015-06-01,1.85,1.85,1.85,1.85,73397.21,0.17,10.12,1.765,1.765,1.765,326597.57,326597.57,326597.57,0.49
2015-05-29,1.68,1.68,1.68,1.68,579797.94,0.15,9.8,1.68,1.68,1.68,579797.94,579797.94,579797.94,3.88
