date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017/11/17,181.9,186.68,179,178.1,23103.82,-4.04,-2.21,177.272,177.914,173.13,30652.06,27606.2,23825.82,1.36
2017/11/16,171.93,185.88,183.04,171.93,47893.86,12.84,7.54,178.468,177.014,172.08,31301.04,26667.42,23873,2.82
2017/11/15,173.02,175,170.2,168,30375.41,-2.52,-1.46,177.476,175.91,171.12,24673.02,24476.28,22094.11,1.79
2017/11/14,180.8,184.71,172.72,172.23,32763.66,-8.68,-4.79,178.714,175.48,170.814,23247.31,23157.03,21405.38,1.93
2017/11/13,183.68,183.9,181.4,180.9,19123.56,-3.58,-1.94,179.88,175.178,170.048,22837.64,21224.56,20222.56,1.12
2017/11/10,177.02,185.02,184.98,176.49,26348.72,6.9,3.88,178.556,174.049,168.922,24560.33,21354.25,20169.48,1.55
2017/11/9,176.31,178.28,178.08,173.12,14753.73,1.69,0.96,175.56,172.674,167.508,22033.8,20028.54,19522.47,0.87
2017/11/8,177,182.3,176.39,174,23246.9,-2.16,-1.21,174.344,171.945,166.307,24279.54,21240.25,19278.48,1.37
2017/11/7,174.5,182.5,178.55,173.1,30715.29,3.77,2.16,172.246,171.496,165.157,23066.75,23364.49,19292.78,1.81
2017/11/6,168.3,175.98,174.78,165,27737.02,4.78,2.81,170.476,169.777,163.825,19611.48,21382.7,18743.8,1.63
2017/11/3,171.7,171.94,170,169.37,13716.05,-2,-1.16,169.542,168.345,162.526,18148.16,20045.44,18457.01,0.81
2017/11/2,166.32,172,172,165.11,25982.43,6.1,3.68,169.788,167.145,161.453,18023.27,21078.57,18412.31,1.53
2017/11/1,170.15,170.65,165.9,165.8,17182.97,-3.8,-2.24,169.546,166.33,160.29,18200.97,19711.95,18338.71,1.01
2017/10/31,169.09,170.56,169.7,166.58,13438.91,-0.41,-0.24,170.746,166.148,159.194,23662.23,19653.73,18005.91,0.79
2017/10/30,172,172.8,170.11,165,20420.44,-1.12,-0.65,169.078,164.918,157.862,23153.92,19220.57,17730.88,1.2
2017/10/27,171,171.77,171.23,169.09,13091.61,0.44,0.26,167.148,163.795,156.487,21942.72,18984.72,17738.2,0.77
2017/10/26,172.27,173.35,170.79,169.1,26870.91,-1.11,-0.65,164.502,162.341,154.949,24133.87,19016.4,18067.89,1.58
2017/10/25,163.01,173.62,171.9,163,44489.28,10.54,6.53,163.114,160.668,153.554,21222.93,17316.7,17498.03,2.62
2017/10/24,160.44,163,161.36,159.07,10897.38,0.9,0.56,161.55,158.817,152.023,15645.23,15221.08,15920.26,0.64
2017/10/23,158.04,160.46,160.46,156.56,14364.41,2.46,1.56,160.758,157.873,151.105,15287.21,16104.9,16178.33,0.84
2017/10/20,163.17,163.17,158,156.17,24047.38,-5.85,-3.57,160.442,156.706,150.184,16026.72,16868.58,16348.55,1.41
2017/10/19,164,165.68,163.85,162.15,12316.22,-0.23,-0.14,160.18,155.761,149.469,13898.92,15746.05,15808.97,0.72
2017/10/18,157.6,164.37,164.08,156.88,16600.78,6.68,4.24,158.222,154.25,148.497,13410.46,16965.47,15729.48,0.98
2017/10/17,158.8,160.13,157.4,156.5,9107.27,-1.48,-0.93,156.084,152.241,147.543,14796.92,16358.09,15655.6,0.54
2017/10/16,157.8,160.3,158.88,157.3,18061.97,2.19,1.4,154.988,150.806,146.922,16922.59,16241.19,16209.05,1.06
2017/10/13,154.2,157.18,156.69,153.2,13408.38,2.63,1.71,152.97,149.178,146.044,17710.43,16491.68,16401.51,0.79
2017/10/12,153,154.31,154.06,151.7,9873.91,0.67,0.44,151.342,147.556,145.373,17593.18,17119.39,16873.22,0.58
2017/10/11,152.1,155.02,153.39,152.02,23533.09,1.47,0.97,150.278,146.44,144.654,20520.49,17679.36,16982.48,1.38
2017/10/10,148.82,152.84,151.92,148.6,19735.61,3.13,2.1,148.398,145.229,143.85,17919.25,16619.45,16504.21,1.16
2017/10/9,150.21,150.5,148.79,147.52,22001.14,0.24,0.16,146.624,144.337,143.193,15559.79,16251.76,16173.87,1.29
2017/9/29,148,149.7,148.55,147.15,12822.15,-0.19,-0.13,145.386,143.662,142.744,15272.93,15828.52,16315.65,0.75
2017/9/28,143.88,149.2,148.74,143.13,24510.44,4.75,3.3,143.77,143.177,142.094,16645.6,15871.88,16356.2,1.44
2017/9/27,143,144.98,143.99,142.18,10526.93,0.94,0.66,142.602,142.743,141.427,14838.22,14493.48,15839.43,0.62
2017/9/26,142.6,143.59,143.05,141.8,7938.28,0.45,0.32,142.06,142.844,141.04,15319.64,14953.11,16718.17,0.47
2017/9/25,140.45,144.42,142.6,139.8,20566.84,2.13,1.52,142.05,143.039,140.732,16943.74,16176.92,16884.64,1.21
2017/9/22,143.1,143.11,140.47,139.4,19685.51,-2.43,-1.7,141.938,142.909,140.448,16384.11,16311.34,16815.26,1.16
2017/9/21,142.46,143.95,142.9,141.6,15473.56,1.62,1.15,142.584,143.189,140.227,15098.16,16627.05,16421.86,0.91
2017/9/20,142.5,144.6,141.28,141.05,12934.02,-1.72,-1.2,142.884,142.869,139.877,14148.74,16285.6,16253.96,0.76
2017/9/19,142,144.79,143,141.8,16058.77,0.96,0.68,143.628,142.471,139.645,14586.58,16388.97,16690.67,0.94
2017/9/18,143.01,146,142.04,141.6,17768.68,-1.66,-1.16,144.028,142.049,139.423,15410.09,16095.97,16781.68,1.05
2017/9/15,143.65,144.69,143.7,143.1,13255.79,-0.7,-0.48,143.88,141.825,139.321,16238.57,16802.78,17695.84,0.78
2017/9/14,145.18,146.35,144.4,143.1,10726.46,-0.6,-0.41,143.794,141.01,139.046,18155.94,16840.51,21714.25,0.63
2017/9/13,144.01,148.18,145,144,15123.19,0,0,142.854,140.11,138.17,18422.45,17185.38,21697.82,0.89
2017/9/12,141.35,145.81,145,140.7,20176.34,3.7,2.62,141.314,139.235,137.377,18191.37,18483.23,22128.31,1.19
2017/9/11,143.54,143.54,141.3,139.99,21911.08,-1.97,-1.38,140.07,138.424,136.522,16781.85,17592.37,21678.23,1.29
2017/9/8,139.12,145.63,143.27,139.12,22842.61,3.57,2.56,139.77,137.987,135.844,17366.98,17319.17,21475.93,1.34
2017/9/7,137.7,139.74,139.7,137,12059.05,2.4,1.75,138.226,137.265,134.971,15525.09,16216.66,21092.94,0.71
2017/9/6,139.99,139.99,137.3,136.9,13967.75,-1.48,-1.07,137.366,136.884,134.277,15948.31,16222.32,21374.97,0.82
2017/9/5,139.1,140.5,138.78,138.01,13128.76,-1.02,-0.73,137.156,136.82,133.657,18775.09,16992.36,21442.55,0.77
2017/9/4,135.7,140.6,139.8,135.51,24836.75,4.25,3.13,136.778,136.797,132.794,18402.9,17467.4,21422.54,1.46
2017/9/1,135.81,136.71,135.55,134.45,13633.14,0.15,0.11,136.204,136.817,131.86,17271.36,18588.91,20835.66,0.8
2017/8/31,136,137.35,135.4,134.33,14175.16,-0.85,-0.62,136.304,137.082,131.182,16908.23,26587.99,20744.45,0.83
2017/8/30,137.56,140.48,136.25,135,28101.65,-0.64,-0.47,136.402,136.231,130.503,16496.33,26210.25,20395.62,1.65
2017/8/29,137.38,139.45,136.89,136.56,11267.79,-0.04,-0.03,136.484,135.52,129.865,15209.62,25773.39,19399.18,0.66
2017/8/28,136.48,137.75,136.93,135.4,19179.08,0.88,0.65,136.816,134.619,129.284,16531.89,25764.09,19609.98,1.13
2017/8/25,135.55,138.2,136.05,135.52,11817.49,0.16,0.12,137.43,133.701,128.524,19906.46,25632.69,19237.5,0.7
2017/8/24,136.16,137.87,135.89,135.4,12115.64,-0.77,-0.56,137.86,132.676,127.916,36267.74,25969.21,19247.08,0.71
2017/8/23,138.74,141.26,136.66,135.8,21668.12,-1.89,-1.36,136.06,131.669,127.143,35924.16,26527.62,19227.14,1.27
2017/8/22,139.15,140.33,138.55,136.51,17879.14,-1.45,-1.04,134.556,130.494,126.224,36337.15,25892.75,18735.23,1.05
2017/8/21,138.19,140,140,137,36051.9,1.8,1.3,132.422,128.791,125.31,34996.29,25377.69,18385.33,2.12
2017/8/18,132,139.58,138.2,132,93623.92,11.31,8.91,129.972,126.903,124.286,31358.92,23082.41,17120.07,5.51
2017/8/17,129.01,129.79,126.89,126.77,10397.74,-2.25,-1.74,127.492,125.283,123.408,15670.68,14900.92,13121.48,0.61
2017/8/16,128,131.17,129.14,127,23733.06,1.26,0.98,127.278,124.775,123.054,17131.08,14581,13492.02,1.4
2017/8/15,127.75,128.08,127.88,126.28,11174.81,0.13,0.1,126.432,124.21,122.636,15448.35,13024.98,13352.51,0.66
2017/8/14,125.8,128.08,127.75,125.68,17865.09,1.95,1.55,125.16,123.949,122.232,15759.1,13455.88,13657.39,1.05
2017/8/11,125.82,127.6,125.8,125.15,15182.69,-0.02,-0.02,123.834,123.347,121.845,14805.89,12842.3,13741.23,0.89
2017/8/10,124.6,127.88,125.82,124.6,17699.77,0.91,0.73,123.074,123.155,121.735,14131.16,12524.94,13766.64,1.04
2017/8/9,121.53,125.5,124.91,121.52,15319.37,3.39,2.79,122.272,122.618,121.71,12030.91,11926.66,13491.74,0.9
2017/8/8,121.1,122.5,121.52,119.99,12728.58,0.4,0.33,121.988,121.955,121.66,10601.61,11577.71,13088.2,0.75
2017/8/7,122,122.96,121.12,119,13099.04,-0.88,-0.72,122.738,121.828,121.784,11152.65,11392.97,12911.72,0.77
2017/8/4,121.51,124.2,122,121.51,11809.05,0.19,0.16,122.86,121.669,121.938,10878.71,11157.73,12835.33,0.69
2017/8/3,123.35,123.35,121.81,121.77,7198.5,-1.68,-1.36,123.236,121.533,122.038,10918.72,11342.04,12671.64,0.42
2017/8/2,125.2,125.2,123.49,123,8172.87,-1.78,-1.42,122.964,121.332,122.151,11822.42,12403.04,12810.29,0.48
2017/8/1,121.3,126,125.27,121.3,15483.79,3.54,2.91,121.922,121.061,122.304,12553.82,13680.04,12936.8,0.91
2017/7/31,123.87,123.87,121.73,121.11,11729.36,-2.15,-1.74,120.918,120.515,122.24,11633.28,13858.9,13112.69,0.69
2017/7/28,120.5,124.25,123.88,120.47,12009.1,3.43,2.85,120.478,120.342,122.444,11436.75,14640.15,13530,0.71
2017/7/27,118.25,121.38,120.45,117.55,11716.96,2.17,1.83,119.83,120.314,122.706,11765.36,15008.34,13426.22,0.69
2017/7/26,120.18,120.4,118.28,117.8,11829.88,-1.97,-1.64,119.7,120.802,123.077,12983.67,15056.82,13201.74,0.7
2017/7/25,119.99,121.51,120.25,118.72,10881.12,0.72,0.6,120.2,121.365,123.57,14806.27,14598.69,12985.19,0.64
2017/7/24,120.33,122.4,119.53,119.02,10746.67,-1.11,-0.92,120.112,121.74,124.05,16084.52,14430.47,13402.69,0.63
2017/7/21,119.01,121.01,120.64,118.58,13652.19,0.84,0.7,120.206,122.207,124.474,17843.56,14512.93,13730.28,0.8
2017/7/20,120.5,120.62,119.8,118,17808.48,-0.98,-0.81,120.798,122.543,124.739,18251.31,14001.23,13771.73,1.05
2017/7/19,119.5,121.01,120.78,118.3,20942.89,0.97,0.81,121.904,122.971,125.089,17129.97,13217.55,13881.74,1.23
2017/7/18,119.55,120.8,119.81,119.01,17272.38,-0.19,-0.16,122.53,123.548,125.35,14391.11,12193.56,13409.33,1.02
2017/7/17,123.02,123.03,120,118.85,19541.85,-3.6,-2.91,123.368,123.966,125.676,12776.41,12366.47,13072.26,1.15
2017/7/14,125.8,125.8,123.6,122.75,15690.96,-1.73,-1.38,124.208,124.546,126.009,11182.29,12419.84,12989.55,0.92
2017/7/13,123.91,125.59,125.33,123.03,12201.79,1.42,1.15,124.288,125.097,126.02,9751.15,11844.1,12637.97,0.72
