date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017/11/17,31.26,31.39,29.85,29.71,317762.91,-1.81,-5.72,29.91,29.79,28.877,243403.4,237027.91,210559.99,14.17
2017/11/16,29.11,32.25,31.66,29.11,428676.03,2.3,7.83,30.008,29.765,28.747,240135.8,235220.33,201323.46,19.12
2017/11/15,28.7,29.46,29.36,28.7,134770.77,0.54,1.87,29.476,29.488,28.561,187151.09,212626.73,187499,6.01
2017/11/14,29.86,30.34,28.82,28.68,176595.77,-1.04,-3.48,29.452,29.404,28.475,201121.65,219509.71,187091.38,7.88
2017/11/13,30.1,30.29,29.86,29.6,159211.53,-0.48,-1.58,29.576,29.322,28.429,215931.05,220081.71,183120.04,7.1
2017/11/10,28.9,31.6,30.34,28.7,301424.91,1.34,4.62,29.67,29.191,28.328,230652.41,231733.71,190138.93,13.44
2017/11/9,29.38,29.38,29,28.5,163752.47,-0.24,-0.82,29.522,28.929,28.306,230304.86,223609.33,182308.26,7.3
2017/11/8,29.6,30.18,29.24,28.95,204623.56,-0.2,-0.68,29.5,28.746,28.356,238102.38,226069.29,182908.22,9.13
2017/11/7,30.05,30.88,29.44,29.2,250642.77,-0.89,-2.93,29.356,28.486,28.408,237897.78,216676.16,190313.54,11.18
2017/11/6,29.69,30.49,30.33,29.22,232818.36,0.73,2.47,29.068,28.255,28.395,224232.37,199823.93,187467,10.38
2017/11/3,28.71,29.96,29.6,28.61,299687.12,0.71,2.46,28.712,27.963,28.297,232815,184092.08,182790.21,13.37
2017/11/2,28.3,29.16,28.89,28.21,202740.08,0.37,1.3,28.336,27.729,28.235,216913.8,167426.59,177396.34,9.04
2017/11/1,28.02,29.2,28.52,27.83,203600.56,0.52,1.86,27.992,27.634,28.238,214036.19,162371.26,182164.78,9.08
2017/10/31,28.12,28.49,28,27.6,182315.73,-0.55,-1.93,27.616,27.545,28.197,195454.54,154673.04,178839.08,8.13
2017/10/30,27.31,28.8,28.55,26.88,275731.53,0.83,2.99,27.442,27.535,28.202,175415.5,146158.38,176184.73,12.3
2017/10/27,26.95,28.22,27.72,26.56,220181.12,0.55,2.02,27.214,27.465,28.208,135369.15,148544.15,171203.34,9.82
2017/10/26,27.2,27.99,27.17,27.15,188352.02,0.53,1.99,27.122,27.683,28.205,117939.37,141007.18,165473.24,8.4
2017/10/25,27.13,27.24,26.64,26.51,110692.28,-0.49,-1.81,27.276,27.965,28.236,110706.33,139747.15,163230.03,4.94
2017/10/24,27.42,27.59,27.13,26.9,82120.53,-0.28,-1.02,27.474,28.33,28.333,113891.55,163950.92,167549.2,3.66
2017/10/23,27,27.53,27.41,27,75499.81,0.15,0.55,27.628,28.535,28.405,116901.26,175110.07,173289.2,3.37
2017/10/20,27.63,27.7,27.26,26.88,133032.22,-0.68,-2.43,27.716,28.63,28.511,161719.15,181488.35,183617.55,5.93
2017/10/19,27.63,28.3,27.94,27.5,152186.8,0.31,1.12,28.244,28.74,28.565,164074.99,187366.08,187412.74,6.79
2017/10/18,28,28.09,27.63,26.95,126618.39,-0.27,-0.97,28.654,28.841,28.623,168787.98,201958.3,194401.77,5.65
2017/10/17,27.55,28.22,27.9,27.37,97169.08,0.05,0.18,29.186,28.848,28.689,214010.28,203005.13,213634.19,4.33
2017/10/16,29.3,29.3,27.85,27.59,299589.25,-2.05,-6.86,29.442,28.869,28.688,233318.88,206211.08,226766.08,13.36
2017/10/13,29.91,30.7,29.9,29.76,144811.45,-0.09,-0.3,29.544,28.951,28.562,201257.55,193862.54,218917.11,6.46
2017/10/12,30,30.21,29.99,29.47,175751.72,-0.3,-0.99,29.236,28.726,28.315,210657.17,189939.3,216252.12,7.84
2017/10/11,28.98,31.49,30.29,28.76,352729.91,1.11,3.8,29.028,28.507,28.089,235128.61,186712.91,213837.9,15.73
2017/10/10,28.3,29.47,29.18,28.13,193712.06,0.82,2.89,28.51,28.335,27.833,191999.97,171147.49,203439.61,8.64
2017/10/9,28.38,28.6,28.36,27.7,139282.59,0,0,28.296,28.275,27.667,179103.27,171468.33,198516.98,6.21
2017/9/29,28.65,29.23,28.36,27.9,191809.59,-0.59,-2.04,28.358,28.391,27.554,186467.52,185746.75,198897.32,8.56
2017/9/28,27.67,29.55,28.95,27.61,298108.91,1.25,4.51,28.216,28.389,27.462,169221.42,187459.39,198959.57,13.3
2017/9/27,27.99,27.99,27.7,27.21,137086.69,-0.41,-1.46,27.986,28.404,27.303,138297.21,186845.25,190518.18,6.11
2017/9/26,28.64,28.8,28.11,27.92,129228.59,-0.56,-1.95,28.16,28.53,27.227,150295.01,224263.26,192031.19,5.76
2017/9/25,27.68,28.94,28.67,27.68,176103.84,1.02,3.69,28.254,28.506,27.14,163833.38,247321.08,195621.63,7.85
2017/9/22,27.45,28.14,27.65,27.3,105579.05,-0.15,-0.54,28.424,28.173,26.99,185025.98,243971.68,196119.31,4.71
2017/9/21,28.77,28.85,27.8,27.72,143487.86,-0.77,-2.69,28.562,27.903,26.864,205697.36,242564.95,198513.08,6.4
2017/9/20,28.28,29.58,28.57,28.22,197075.69,-0.01,-0.04,28.822,27.67,26.714,235393.3,240962.89,200726.89,8.79
2017/9/19,29.43,29.75,28.58,28.31,196920.44,-0.94,-3.18,28.9,27.33,26.571,298231.51,235731.72,198049.1,8.78
2017/9/18,28.35,29.94,29.52,28.11,282066.88,1.18,4.16,28.758,27.058,26.419,330808.79,225565.63,202101.41,12.58
2017/9/15,28.98,29.28,28.34,27.9,208935.95,-0.76,-2.61,27.922,26.716,26.285,302917.38,212047.88,193863.11,9.32
2017/9/14,29.2,29.58,29.1,28.51,291967.53,0.14,0.48,27.244,26.534,26.199,279432.53,210459.76,191908.25,13.02
2017/9/13,28.1,30.1,28.96,27.85,511266.75,1.09,3.91,26.518,26.202,26.129,246532.49,194191.11,185943.62,22.8
2017/9/12,25.1,27.87,27.87,25.08,359806.84,2.53,9.98,25.76,25.924,26.095,173231.94,159799.11,167459.43,16.05
2017/9/11,24.7,25.48,25.34,24.1,142609.83,0.39,1.56,25.358,25.773,26.109,120322.47,143922.18,157575.95,6.36
2017/9/8,25.28,25.44,24.95,24.89,91511.7,-0.52,-2.04,25.51,25.807,26.279,121178.39,148266.94,163768.15,4.08
2017/9/7,25.15,25.57,25.47,24.8,127467.33,0.3,1.19,25.824,25.825,26.444,141486.99,154461.21,171506.06,5.69
2017/9/6,25.74,25.74,25.17,25.06,144763.98,-0.69,-2.67,25.886,25.757,26.619,141849.73,160490.89,181372.42,6.46
2017/9/5,26.07,26.21,25.86,25.6,95259.49,-0.24,-0.92,26.088,25.811,26.739,146366.29,160366.47,188580.01,4.25
2017/9/4,26.58,26.64,26.1,25.83,146889.44,-0.42,-1.58,26.188,25.779,26.735,167521.89,178637.2,195520.75,6.55
2017/9/1,25.61,26.53,26.52,25.6,193054.7,0.74,2.87,26.104,25.853,26.754,175355.49,175678.34,203340.63,8.61
2017/8/31,26.13,26.35,25.78,25.4,129281.06,-0.4,-1.53,25.826,25.864,26.632,167435.44,173356.74,201483.35,5.77
2017/8/30,26.3,26.55,26.18,25.79,167346.77,-0.18,-0.68,25.628,26.056,26.593,179132.05,177696.13,203444.93,7.46
2017/8/29,25.41,26.44,26.36,25.15,201037.48,0.68,2.65,25.534,26.266,26.552,174366.65,175119.74,205185.23,8.97
2017/8/28,25.22,26.45,25.68,25.22,186057.45,0.55,2.19,25.37,26.445,26.509,189752.5,171229.71,208320.58,8.3
2017/8/25,24.84,25.18,25.13,24.72,153454.42,0.34,1.37,25.602,26.751,26.506,176001.19,179269.36,217151.85,6.84
2017/8/24,25.68,25.7,24.79,24.51,187764.12,-0.92,-3.58,25.902,27.062,26.415,179278.05,188550.92,221622.47,8.37
2017/8/23,25.4,25.95,25.71,25.4,143519.8,0.17,0.67,26.484,27.481,26.247,176260.21,202253.96,217250.67,6.4
2017/8/22,26.61,26.63,25.54,24.98,277966.72,-1.3,-4.84,26.998,27.666,26.029,175872.83,216793.55,216442.6,12.4
2017/8/21,26.63,27.12,26.84,26.51,117300.91,0.21,0.79,27.52,27.691,25.812,152706.93,212404.31,208085.95,5.23
2017/8/18,27.55,27.66,26.63,26.51,169838.69,-1.07,-3.86,27.9,27.655,25.559,182537.52,231002.92,211982.23,7.58
2017/8/17,28,28.35,27.7,27.15,172674.95,-0.58,-2.05,28.222,27.399,25.313,197823.78,229609.96,212860.88,7.7
2017/8/16,27.93,28.45,28.28,27.37,141582.89,0.13,0.46,28.478,27.13,24.991,228247.7,229193.74,211761.87,6.31
2017/8/15,28.66,28.66,28.15,27.87,162137.2,-0.59,-2.05,28.334,26.837,24.643,257714.26,235250.73,213141.32,7.23
2017/8/14,28.5,29.1,28.74,27.48,266453.88,0.5,1.77,27.862,26.572,24.298,272101.69,245411.44,214375.28,11.88
2017/8/11,28.97,29.7,28.24,27.77,246270,-0.74,-2.55,27.41,26.261,23.916,279468.32,255034.34,215691.12,10.98
2017/8/10,27.7,30.15,28.98,27.66,324794.53,1.42,5.15,26.576,25.767,23.555,261396.13,254694.03,216373.67,14.49
2017/8/9,25.81,28.34,27.56,25.51,288915.69,1.77,6.86,25.782,25.012,23.062,230139.77,232247.37,209478.7,12.89
2017/8/8,26.6,26.87,25.79,25.55,234074.36,-0.69,-2.61,25.34,24.392,22.575,212787.19,216091.65,197762.19,10.44
2017/8/7,23.95,26.48,26.48,23.9,303287.03,2.41,10.01,25.282,23.933,22.188,218721.2,203767.59,188332.05,13.53
2017/8/4,24.71,24.88,24.07,24,155909.05,-0.94,-3.76,25.112,23.462,21.757,230600.37,192961.54,174772.19,6.95
2017/8/3,25.19,26,25.01,24.84,168512.72,-0.34,-1.34,24.958,23.227,21.442,247991.92,196111.8,168548.99,7.52
2017/8/2,25.59,25.73,25.35,24.65,202152.8,-0.15,-0.59,24.242,22.851,21.078,234354.98,194330.01,161928.27,9.02
2017/8/1,26.05,26.26,25.5,25.01,263744.38,-0.13,-0.51,23.444,22.449,20.705,219396.11,191031.92,154248.04,11.76
2017/7/31,23.55,25.63,25.63,23.55,362682.88,2.33,10,22.584,22.024,20.326,188813.98,183339.11,142913.75,16.18
2017/7/28,21.31,23.4,23.3,21.07,242866.81,1.87,8.73,21.812,21.571,19.953,155322.72,176347.9,126866.21,10.83
2017/7/27,21.26,21.61,21.43,21.2,100328.02,0.07,0.33,21.496,21.343,19.707,144231.69,178053.32,115952.31,4.47
2017/7/26,21.11,21.55,21.36,20.76,127358.44,0.16,0.76,21.46,21.111,19.55,154305.04,186710.02,112710.94,5.68
2017/7/25,21.58,21.99,21.2,21.09,110833.73,-0.57,-2.62,21.454,20.757,19.401,162667.73,179432.73,109014.45,4.94
