date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017/11/17,13.68,14.48,13.75,13.6,866747.38,-0.02,-0.14,13.258,12.845,12.113,840244.46,672214.94,612220.95,5.92
2017/11/16,13.3,13.93,13.77,13.01,701927.62,0.47,3.53,13.094,12.619,11.934,767014.24,625383.71,582965.83,4.79
2017/11/15,12.7,13.32,13.3,12.39,698985.81,0.62,4.89,12.872,12.383,11.739,722426.14,600495.86,581245.18,4.77
2017/11/14,12.58,13.46,12.68,12.48,799910.88,-0.11,-0.86,12.628,12.228,11.603,662119.4,580011.81,562870.5,5.46
2017/11/13,12.03,12.82,12.79,11.74,1133650.62,-0.14,-1.08,12.56,12.116,11.515,598823.93,545457.6,543536.75,7.74
2017/11/10,12.69,13.1,12.93,12.48,500596.28,0.27,2.13,12.432,12.003,11.401,504185.41,484554.82,506788.2,3.42
2017/11/9,12.05,12.8,12.66,12.05,478987.12,0.58,4.8,12.144,11.876,11.298,483753.17,497076.66,497576.17,3.27
2017/11/8,12.22,12.44,12.08,12.05,397452.12,-0.26,-2.11,11.894,11.806,11.206,478565.59,548246.52,490675.04,2.71
2017/11/7,12.12,12.42,12.34,11.95,483433.53,0.19,1.56,11.828,11.693,11.142,497904.21,570872.44,494758.1,3.3
2017/11/6,11.55,12.31,12.15,11.46,660458,0.66,5.74,11.672,11.541,11.08,492091.27,582930.64,495114.88,4.51
2017/11/3,11.37,11.67,11.49,11.3,398435.09,0.08,0.7,11.574,11.381,11.036,464924.22,552226.96,496779.6,2.72
2017/11/2,11.79,11.95,11.41,11.41,453049.19,-0.34,-2.89,11.608,11.249,11.017,510400.14,540547.95,509973.45,3.09
2017/11/1,11.5,11.95,11.75,11.46,494145.25,0.19,1.64,11.718,11.095,11.007,617927.44,561994.49,526543.86,3.38
2017/10/31,11.63,11.74,11.56,11.22,454368.84,-0.1,-0.86,11.558,10.978,10.994,643840.67,545729.19,573252.68,3.1
2017/10/30,11.77,11.99,11.66,11.38,524622.75,0,0,11.41,10.914,10.962,673770,541615.9,621785.81,3.58
2017/10/27,11.91,11.96,11.66,11.59,625814.69,-0.3,-2.51,11.188,10.799,10.875,639529.7,529021.58,622496.33,4.27
2017/10/26,11.09,12.01,11.96,11.06,990685.69,1.01,9.22,10.89,10.719,10.782,570695.76,498075.68,611445.59,6.77
2017/10/25,11.3,11.4,10.95,10.9,623711.38,0.13,1.2,10.472,10.605,10.673,506061.53,433103.56,591806.35,4.26
2017/10/24,10.47,11.24,10.82,10.47,604015.5,0.27,2.56,10.398,10.591,10.62,447617.71,418643.77,578857.89,4.13
2017/10/23,10.16,10.59,10.55,10.12,353421.25,0.38,3.74,10.418,10.619,10.563,409461.8,407299.12,562889.32,2.41
2017/10/20,9.81,10.18,10.17,9.76,281644.97,0.3,3.04,10.41,10.69,10.524,418513.47,441332.24,559025.02,1.92
2017/10/19,10.46,10.5,9.87,9.62,667514.56,-0.71,-6.71,10.548,10.785,10.501,425455.61,479398.94,577809.85,4.56
2017/10/18,10.84,10.94,10.58,10.55,331492.25,-0.34,-3.11,10.738,10.918,10.516,360145.59,491093.24,568421.95,2.26
2017/10/17,10.54,10.93,10.92,10.52,413235.97,0.41,3.9,10.784,11.009,10.498,389669.83,600776.16,584880.6,2.82
2017/10/16,10.87,10.87,10.51,10.49,398679.59,-0.35,-3.22,10.82,11.009,10.451,405136.43,701955.73,609546.6,2.72
