date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017/11/17,113.44,115.82,115.56,110.75,79469.18,0.47,0.41,113.542,114.105,114.4,69841.8,73094.12,70617.53,0.64
2017/11/16,112,115.88,115.09,112,76823.91,3.01,2.69,113.61,113.859,114.321,70584.79,69256.86,69458.75,0.62
2017/11/15,111.24,112.85,112.08,109.3,57125.93,2.09,1.9,113.188,113.771,114.396,67803.23,66481.02,68892.14,0.46
2017/11/14,115.15,115.4,109.99,109.6,86197.18,-5,-4.35,113.23,113.883,114.323,77036.68,67999.61,68637.92,0.7
2017/11/13,116.67,117.5,114.99,114.02,49592.81,-0.91,-0.79,114.266,113.908,114.092,72838.63,65105.57,66125,0.4
2017/11/10,111.98,116.51,115.9,110.01,83184.13,2.92,2.58,114.668,113.708,113.566,76346.44,73357.93,65889.4,0.67
2017/11/9,112.28,114,112.98,108.57,62916.1,0.69,0.61,114.108,113.819,113.066,67928.93,72325.29,63572.51,0.51
2017/11/8,115.85,116.58,112.29,110.2,103293.2,-2.88,-2.5,114.354,114.122,112.711,65158.81,75071.32,63068.78,0.83
2017/11/7,117.35,120.63,115.17,114.92,65206.91,-1.83,-1.56,114.536,114.481,112.497,58962.54,68603.42,61463.07,0.53
2017/11/6,113.68,118.75,117,112,67131.86,3.9,3.45,113.55,114.76,111.883,57372.51,67902.86,63672.32,0.54
2017/11/3,113.48,115.5,113.1,112.74,41096.58,-1.11,-0.97,112.748,114.694,111.033,70369.42,68140.94,65059.16,0.33
2017/11/2,113.2,115.99,114.21,112.65,49065.5,1.01,0.89,113.53,114.783,110.453,76721.65,69660.63,65432.69,0.4
2017/11/1,110.25,114.29,113.2,110.25,72311.86,2.96,2.69,113.89,115.02,109.913,84983.83,71303.27,65663.3,0.58
2017/10/31,112,113.9,110.24,109.48,57256.77,-2.75,-2.43,114.426,114.763,109.268,78244.29,69276.23,64549.14,0.46
2017/10/30,115,115,112.99,108.7,132116.39,-4.02,-3.44,115.97,114.275,108.76,78433.21,67144.42,64293.09,1.07
2017/10/27,115.23,118.39,117.01,113.69,72857.73,1,0.86,116.64,113.424,108.132,65912.45,58420.88,62748.07,0.59
2017/10/26,119,122.66,116.01,114.8,90376.4,0.13,0.11,116.036,112.313,107.123,62599.62,54819.74,62365.87,0.73
2017/10/25,118,118.01,115.88,114.87,38614.15,-2.08,-1.76,116.15,111.3,106.165,57622.71,51066.24,61179.94,0.31
2017/10/24,115.36,118.38,117.96,114.18,58201.39,1.62,1.39,115.1,110.512,105.121,60308.16,54322.72,66310.1,0.47
2017/10/23,114.05,117.17,116.34,109,69512.6,2.35,2.06,112.58,109.006,103.697,55855.63,59441.77,66995.38,0.56
2017/10/20,115.4,115.8,113.99,112.18,56293.55,-2.59,-2.22,110.208,107.372,102.288,50929.3,61977.38,67303.81,0.45
2017/10/19,111.5,117.99,116.58,110.68,65491.85,5.95,5.38,108.59,106.123,100.983,47039.85,61204.75,65378.61,0.53
2017/10/18,105.36,110.64,110.63,104.7,52041.42,5.27,5,106.45,104.806,99.55,44509.76,60023.33,63001.91,0.42
2017/10/17,104.15,105.48,105.36,103.6,35938.75,0.88,0.84,105.924,103.773,98.471,48337.27,59822.06,62192.58,0.29
2017/10/16,105.92,108.35,104.48,104.28,44880.95,-1.42,-1.34,105.432,103.245,97.581,63027.91,61441.75,61524.47,0.36
