date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017/11/17,28.6,29.11,28.72,28.3,217442.44,0.17,0.59,28.702,28.15,27.566,168072.34,155933.58,138610.28,1.09
2017/11/16,28.66,28.7,28.56,28.1,129015.48,-0.09,-0.31,28.566,27.987,27.409,161013.79,143079.76,130205.97,0.64
2017/11/15,28.81,29.58,28.68,28.44,145838.61,-0.15,-0.52,28.374,27.82,27.264,157784.7,138859.3,129469.94,0.73
2017/11/14,28.8,29.6,28.81,28.45,168451.61,0.06,0.21,28.032,27.651,27.142,157529.15,135361.16,125580.35,0.84
2017/11/13,28.26,28.9,28.74,28.26,179613.55,0.69,2.46,27.786,27.482,27.002,151460.55,129138.1,120515.64,0.9
2017/11/10,27.6,28.1,28.04,27.45,182149.7,0.45,1.63,27.598,27.353,26.86,143794.82,124021.77,116520.29,0.91
2017/11/9,26.79,27.65,27.6,26.77,112870.02,0.63,2.34,27.408,27.3,26.77,125145.72,115250.13,114817.99,0.56
2017/11/8,27.5,28,26.97,26.9,144560.88,-0.61,-2.21,27.266,27.291,26.663,119933.9,125843.22,114957.99,0.72
2017/11/7,27.68,27.97,27.58,27.43,138108.59,-0.22,-0.79,27.27,27.249,26.585,113193.16,124680.18,113634.38,0.69
2017/11/6,27.17,27.84,27.8,27.17,141284.91,0.71,2.62,27.178,27.113,26.5,106815.65,121210.61,112892.7,0.71
2017/11/3,26.83,27.46,27.09,26.83,88904.2,0.2,0.74,27.108,26.982,26.412,104248.72,121286.99,112943.81,0.44
2017/11/2,27.06,27.18,26.89,26.51,86810.91,-0.1,-0.37,27.192,26.83,26.332,105354.53,117332.19,112881.28,0.43
2017/11/1,27.13,27.69,26.99,26.85,110857.19,-0.13,-0.48,27.316,26.707,26.272,131752.53,120080.59,114708.09,0.55
2017/10/31,27.45,27.46,27.12,26.82,106221.04,-0.33,-1.2,27.228,26.633,26.189,136167.2,115799.54,114050.68,0.53
2017/10/30,27.53,27.89,27.45,27.2,128450.25,-0.06,-0.22,27.048,26.521,26.083,135605.57,111893.18,112869.65,0.64
2017/10/27,27.51,27.55,27.51,27.08,94433.27,0,0,26.856,26.366,25.959,138325.26,109018.8,113814.63,0.47
2017/10/26,26.38,27.72,27.51,26.21,218800.92,0.96,3.62,26.468,26.24,25.827,129309.84,114385.85,116310,1.09
2017/10/25,26.5,26.81,26.55,26.19,132930.52,0.33,1.26,26.098,26.034,25.676,108408.64,104072.76,112726.74,0.66
2017/10/24,26.38,26.48,26.22,26.02,103412.91,-0.27,-1.02,26.038,25.921,25.553,95431.88,102588.59,109272.37,0.52
2017/10/23,25.58,26.56,26.49,25.58,142048.66,0.92,3.6,25.994,25.886,25.445,88180.79,104574.79,108297.81,0.71
2017/10/20,25.5,25.74,25.57,25.48,49356.21,-0.09,-0.35,25.876,25.841,25.323,79712.35,104600.62,105009.36,0.25
2017/10/19,26.35,26.35,25.66,25.43,114294.9,-0.59,-2.25,26.012,25.833,25.246,99461.86,108430.38,106477.89,0.57
2017/10/18,26.1,26.27,26.25,25.9,68046.7,0.25,0.96,25.97,25.836,25.173,99736.88,109335.6,106277.25,0.34
2017/10/17,25.9,26.07,26,25.6,67157.49,0.1,0.39,25.804,25.745,25.074,109745.3,112301.83,113660.65,0.34
2017/10/16,26.3,26.64,25.9,25.85,99706.46,-0.35,-1.33,25.778,25.645,24.954,120968.79,113846.12,117522.61,0.5
2017/10/13,25.46,26.43,26.25,25.33,148103.77,0.8,3.14,25.806,25.552,24.831,129488.89,118610.46,118876.63,0.74
2017/10/12,25.47,25.58,25.45,25,115670,0.03,0.12,25.654,25.413,24.682,117398.9,118234.15,116892.96,0.58
2017/10/11,25.87,25.87,25.42,25.4,118088.78,-0.45,-1.74,25.702,25.317,24.575,118934.31,121380.72,123441.38,0.59
