date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-11-17,12.29,12.5,11.56,11.16,29424.0,-0.84,-6.77,12.61,13.068,13.366,25910.2,22587.5,23255.87,1.69
2017-11-16,12.91,12.91,12.39,12.27,18666.0,-0.41,-3.2,13.044,13.266,13.478,24471.6,21199.5,23670.7,1.07
2017-11-15,12.59,12.82,12.8,12.55,9359.0,0.09,0.71,13.296,13.405,13.507,26943.4,21453.9,23317.65,0.54
2017-11-14,13.58,13.6,12.72,12.63,44591.0,-0.87,-6.4,13.424,13.476,13.512,28181.4,22300.0,23447.95,2.57
2017-11-13,13.75,13.96,13.58,13.54,27511.0,-0.15,-1.09,13.562,13.556,13.532,21848.2,19210.7,22822.81,1.58
2017-11-10,13.49,13.76,13.73,13.48,22231.0,0.09,0.66,13.526,13.532,13.526,19264.8,18406.2,22712.31,1.28
2017-11-09,13.43,14.0,13.65,13.35,31024.99,0.21,1.56,13.488,13.497,13.547,17927.4,17972.6,22953.46,1.79
2017-11-08,13.26,13.58,13.44,13.26,15549.0,0.03,0.22,13.514,13.496,13.547,15964.4,17633.39,23376.51,0.89
2017-11-07,13.75,13.75,13.41,13.19,12925.0,0.01,0.07,13.528,13.546,13.593,16418.6,19587.64,25793.36,0.74
2017-11-06,13.48,13.54,13.4,13.21,14594.0,-0.14,-1.03,13.55,13.591,13.629,16573.2,20526.39,27262.5,0.84
2017-11-03,13.82,13.84,13.54,13.37,15544.0,-0.24,-1.74,13.538,13.663,13.646,17547.6,23924.23,28709.71,0.89
2017-11-02,13.46,13.8,13.78,13.24,21210.0,0.27,2.0,13.506,13.69,13.629,18017.8,26141.91,28708.81,1.22
2017-11-01,13.53,13.65,13.51,13.38,17820.0,-0.01,-0.07,13.478,13.609,13.592,19302.38,25181.41,28695.41,1.03
2017-10-31,13.24,13.64,13.52,13.0,13698.0,0.18,1.35,13.564,13.548,13.574,22756.68,24595.91,29229.92,0.79
2017-10-30,13.4,13.65,13.34,13.2,19466.0,-0.04,-0.3,13.632,13.508,13.536,24479.58,26434.93,29597.07,1.12
2017-10-27,13.65,13.8,13.38,13.3,17895.0,-0.26,-1.91,13.788,13.52,13.514,30300.87,27018.43,29796.2,1.03
2017-10-26,13.89,14.09,13.64,13.6,27632.88,-0.3,-2.15,13.874,13.596,13.507,34266.02,27934.33,31001.55,1.59
2017-10-25,13.72,14.35,13.94,13.71,35091.5,0.08,0.58,13.74,13.597,13.496,31060.44,29119.64,32076.11,2.02
2017-10-24,13.86,14.14,13.86,13.64,22312.5,-0.26,-1.84,13.532,13.639,13.494,26435.14,31999.09,34151.03,1.28
2017-10-23,13.63,14.23,14.12,13.41,48572.46,0.31,2.25,13.384,13.666,13.498,28390.28,33998.62,39912.34,2.79
2017-10-20,12.93,13.84,13.81,12.8,37720.75,0.84,6.48,13.252,13.628,13.425,23735.98,33495.18,38756.47,2.17
2017-10-19,12.9,13.06,12.97,12.76,11605.0,0.07,0.54,13.318,13.567,13.357,21602.63,31275.7,38088.93,0.67
2017-10-18,13.2,13.28,12.9,12.88,11965.0,-0.22,-1.68,13.454,13.575,13.338,27178.83,32209.4,39386.29,0.69
2017-10-17,13.15,13.4,13.12,12.5,32088.17,-0.34,-2.53,13.746,13.6,13.31,37563.03,33863.94,39456.49,1.85
2017-10-16,14.15,14.26,13.46,12.73,25301.0,-0.68,-4.81,13.948,13.563,13.264,39606.97,32759.22,38670.73,1.46
2017-10-13,13.82,14.17,14.14,13.7,27054.0,0.49,3.59,14.004,13.508,13.21,43254.37,32573.97,37993.12,1.56
2017-10-12,14.1,14.33,13.65,13.64,39486.0,-0.71,-4.94,13.816,13.417,13.113,40948.77,34068.77,37400.68,2.27
2017-10-11,14.13,15.37,14.36,13.89,63886.0,0.23,1.63,13.696,13.394,13.041,37239.97,35032.59,36349.54,3.68
2017-10-10,13.6,14.2,14.13,13.48,42307.84,0.39,2.84,13.454,13.348,12.94,30164.84,36302.98,33721.19,2.43
2017-10-09,13.16,13.96,13.74,13.16,43538.0,0.54,4.09,13.178,13.329,12.852,25911.48,45826.06,32571.5,2.51
2017-09-29,13.07,13.23,13.2,12.92,15526.0,0.15,1.15,13.012,13.222,12.785,21893.58,44017.76,31237.75,0.89
2017-09-28,13.14,13.28,13.05,12.95,20942.0,-0.1,-0.76,13.018,13.147,12.752,27188.78,44902.17,31438.15,1.2
2017-09-27,12.77,13.28,13.15,12.6,28510.38,0.4,3.14,13.092,13.101,12.729,32825.21,46563.17,31126.41,1.64
2017-09-26,12.86,13.06,12.75,12.6,21041.0,-0.16,-1.24,13.242,13.02,12.698,42441.11,45049.03,31059.2,1.21
2017-09-25,13.23,13.35,12.91,12.82,23448.5,-0.32,-2.42,13.48,12.964,12.695,65740.65,44582.23,31483.2,1.35
2017-09-22,13.4,13.51,13.23,12.96,42002.0,-0.19,-1.42,13.432,12.911,12.676,66141.95,43412.27,31694.02,2.42
2017-09-21,13.82,13.89,13.42,13.38,49124.17,-0.48,-3.45,13.276,12.809,12.641,62615.56,40732.59,31399.33,2.83
2017-09-20,13.8,14.0,13.9,13.56,76589.87,-0.04,-0.29,13.11,12.688,12.597,60301.13,37666.5,32353.6,4.41
2017-09-19,12.83,13.94,13.94,12.6,137538.7,1.27,10.02,12.798,12.531,12.542,47656.96,31139.41,34288.56,7.91
2017-09-18,12.4,12.77,12.67,12.3,25455.0,0.22,1.77,12.448,12.374,12.434,23423.82,19316.94,28294.05,1.46
2017-09-15,12.62,12.66,12.45,12.4,24370.05,-0.14,-1.11,12.39,12.347,12.397,20682.59,18457.74,27809.25,1.4
2017-09-14,12.34,12.94,12.59,12.29,37552.04,0.25,2.03,12.342,12.356,12.37,18849.62,17974.14,28244.33,2.16
2017-09-13,12.19,12.41,12.34,12.13,13369.0,0.15,1.23,12.266,12.357,12.33,15031.86,15689.65,27738.38,0.77
2017-09-12,12.34,12.43,12.19,12.12,16373.0,-0.19,-1.53,12.264,12.375,12.291,14621.86,17069.36,27922.45,0.94
2017-09-11,12.2,12.39,12.38,12.12,11748.84,0.17,1.39,12.3,12.426,12.261,15210.06,18384.16,28654.41,0.68
2017-09-08,12.15,12.33,12.21,12.02,15205.23,0.0,0.0,12.304,12.441,12.215,16232.89,19975.78,29361.65,0.87
2017-09-07,12.3,12.49,12.21,12.2,18463.24,-0.12,-0.97,12.37,12.472,12.169,17098.65,22066.06,29389.79,1.06
2017-09-06,12.27,12.5,12.33,12.25,11319.0,-0.04,-0.32,12.448,12.505,12.12,16347.44,27040.71,29311.12,0.65
2017-09-05,12.4,12.55,12.37,12.29,19314.0,-0.03,-0.24,12.486,12.553,12.068,19516.86,37437.71,29628.17,1.11
2017-09-04,12.47,12.5,12.4,12.38,16863.0,-0.14,-1.12,12.552,12.494,12.013,21558.26,37271.15,29693.68,0.97
2017-09-01,12.6,12.7,12.54,12.48,19534.0,-0.06,-0.48,12.578,12.447,11.96,23718.66,37160.75,29801.32,1.12
2017-08-31,12.52,12.66,12.6,12.45,14707.18,0.08,0.64,12.574,12.384,11.901,27033.47,38514.53,30639.11,0.85
2017-08-30,12.61,12.68,12.52,12.42,27166.1,-0.18,-1.42,12.562,12.303,11.834,37733.98,39787.12,31074.54,1.56
2017-08-29,12.49,12.75,12.7,12.36,29521.0,0.17,1.36,12.62,12.206,11.776,55358.55,38775.54,32625.11,1.7
2017-08-28,12.47,12.75,12.53,12.41,27665.0,0.01,0.08,12.436,12.095,11.694,52984.05,38924.66,32876.61,1.59
2017-08-25,12.62,12.8,12.52,12.41,36108.09,-0.02,-0.16,12.316,11.989,11.617,50602.85,38747.53,33383.03,2.08
2017-08-24,12.81,13.09,12.54,12.51,68209.73,-0.27,-2.11,12.194,11.865,11.541,49995.59,36713.51,33574.63,3.92
2017-08-23,11.75,12.96,12.81,11.7,115288.95,1.03,8.74,12.044,11.735,11.478,41840.25,31581.53,33166.82,6.63
2017-08-22,11.92,12.0,11.78,11.77,17648.48,-0.15,-1.26,11.792,11.582,11.409,22192.53,21818.63,33874.18,1.02
2017-08-21,11.83,11.95,11.93,11.82,15759.0,0.02,0.17,11.754,11.531,11.367,24865.27,22116.2,37362.34,0.91
2017-08-18,11.7,11.99,11.91,11.61,33071.8,0.12,1.02,11.662,11.472,11.268,26892.22,22441.89,37379.32,1.9
2017-08-17,11.57,11.88,11.79,11.49,27433.0,0.24,2.08,11.536,11.418,11.171,23431.43,22763.68,36409.18,1.58
2017-08-16,11.6,12.0,11.55,11.44,17050.36,-0.04,-0.34,11.426,11.365,11.079,21322.81,22361.97,36052.21,0.98
2017-08-15,11.39,11.6,11.59,11.37,31012.17,0.12,1.05,11.372,11.345,11.0,21444.74,26474.68,35998.74,1.78
2017-08-14,11.27,11.6,11.47,11.27,25893.76,0.19,1.68,11.308,11.292,10.915,19367.14,26828.56,35820.17,1.49
2017-08-11,11.16,11.35,11.28,11.05,15767.88,0.04,0.36,11.282,11.245,10.839,17991.56,28018.52,36413.43,0.91
2017-08-10,11.2,11.33,11.24,11.15,16889.88,-0.04,-0.35,11.3,11.216,10.829,22095.92,30435.75,37254.22,0.97
2017-08-09,11.27,11.31,11.28,11.11,17659.99,0.01,0.09,11.304,11.221,10.828,23401.12,34752.12,37013.22,1.02
2017-08-08,11.28,11.37,11.27,11.21,20624.17,-0.07,-0.62,11.318,11.235,10.83,31504.61,45929.73,37807.41,1.19
2017-08-07,11.4,11.47,11.34,11.28,19015.88,-0.03,-0.26,11.276,11.203,10.847,34289.99,52608.48,37741.9,1.09
2017-08-04,11.29,11.52,11.37,11.16,36289.69,0.11,0.98,11.208,11.064,10.867,38045.48,52316.75,38785.91,2.09
2017-08-03,11.26,11.45,11.26,11.17,23415.88,-0.09,-0.79,11.132,10.924,10.9,38775.58,50054.68,38724.98,1.35
