date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-11-17,30.06,30.39,27.7,27.45,44325.44,-2.7,-8.88,31.762,32.812,33.578,48282.9,62646.95,68789.96,17.27
2017-11-16,31.26,31.98,30.37,30.3,32657.73,-1.25,-3.95,33.138,33.256,33.706,55658.78,63498.9,66591.94,12.72
2017-11-15,33.51,33.51,31.6,31.18,49111.92,-2.29,-6.76,34.224,33.462,33.562,73407.63,66142.43,64966.85,19.13
2017-11-14,34.8,35.0,33.9,33.6,52573.43,-1.37,-3.88,34.874,33.516,33.232,80626.89,67165.36,62515.63,20.48
2017-11-13,34.29,35.94,35.24,34.29,62745.96,0.64,1.85,34.43,33.359,32.674,79298.88,69212.81,59888.45,24.45
2017-11-10,35.01,36.48,34.58,34.5,81204.85,-1.21,-3.38,33.862,32.981,31.945,77011.0,72014.58,56754.15,31.64
2017-11-09,33.9,37.16,35.8,33.5,121402.01,0.95,2.73,33.374,32.983,31.155,71339.01,76104.38,52700.73,47.3
2017-11-08,31.9,34.85,34.85,31.84,85208.22,3.17,10.01,32.7,33.221,30.91,58877.22,79142.34,49084.88,33.2
2017-11-07,32.08,32.08,31.68,31.16,45933.36,-0.72,-2.22,32.158,33.763,30.691,53703.82,83653.12,47078.02,17.9
2017-11-06,32.6,33.32,32.4,32.17,51306.55,0.26,0.81,32.288,34.256,30.633,59126.74,79662.43,47145.36,19.99
2017-11-03,32.01,33.24,32.14,31.7,52844.93,-0.29,-0.89,32.1,34.344,30.523,67018.17,74932.97,46885.28,20.59
2017-11-02,31.54,32.75,32.43,30.81,59093.02,0.29,0.9,32.592,34.155,30.415,80869.74,69684.97,46487.97,23.02
2017-11-01,32.01,33.21,32.14,31.91,59341.25,-0.19,-0.59,33.742,33.662,30.271,99407.46,63791.27,45587.61,23.12
2017-10-31,30.99,32.89,32.33,30.81,73047.95,0.87,2.77,35.368,32.948,30.127,113602.41,57865.89,44529.64,28.46
2017-10-30,33.5,33.67,31.46,31.15,90763.68,-3.14,-9.07,36.224,31.988,29.943,100198.12,50564.1,42153.11,35.36
2017-10-27,37.8,37.8,34.6,34.5,122102.82,-3.58,-9.38,36.588,30.908,29.805,82847.77,41493.72,37733.97,47.57
2017-10-26,39.0,39.39,38.18,37.65,151781.62,-2.09,-5.19,35.718,29.326,29.326,58500.2,29297.08,29297.08,59.14
2017-10-25,37.5,40.27,40.27,37.18,130315.98,3.66,10.0,33.582,28.342,28.342,28175.08,15687.69,15687.69,50.77
2017-10-24,36.61,36.61,36.61,36.61,6026.48,3.33,10.01,30.528,26.851,26.851,2129.38,1359.16,1359.16,2.35
2017-10-23,33.28,33.28,33.28,33.28,4011.94,3.03,10.02,27.752,25.457,25.457,930.08,692.4,692.4,1.56
2017-10-20,30.25,30.25,30.25,30.25,365.0,2.75,10.0,25.228,24.153,24.153,139.68,139.14,139.14,0.14
2017-10-19,27.5,27.5,27.5,27.5,156.0,2.5,10.0,22.934,22.934,22.934,93.97,93.97,93.97,0.06
2017-10-18,25.0,25.0,25.0,25.0,87.47,2.27,9.99,21.793,21.793,21.793,78.46,78.46,78.46,0.03
2017-10-17,22.73,22.73,22.73,22.73,30.0,2.07,10.02,20.723,20.723,20.723,75.45,75.45,75.45,0.01
2017-10-16,20.66,20.66,20.66,20.66,59.94,1.88,10.01,19.72,19.72,19.72,98.18,98.18,98.18,0.02
2017-10-13,15.65,18.78,18.78,15.65,136.42,5.74,44.02,18.78,18.78,18.78,136.42,136.42,136.42,0.05
